file,line,original,replacement,compiles,modifies,type,signature
./data/AbstractNaturalIdDataAccess.java,29,keysFactory,keysFactory,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,37,keysFactory,"keysFactory.createNaturalIdKey( naturalIdValues, persister, session )",False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,42,keysFactory.getNaturalIdValues( cacheKey ),cacheKey,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,48,"getStorageAccess().putIntoCache(key, value, session)","getStorageAccess().put(key,value,session)",True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,49,false,true,True,False,VR,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,54,"""""","""isPreventClosing()""",True,False,VR,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,59,<FAILED>,<FAILED>,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,60,<FAILED>,<FAILED>,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,65,true,false,True,False,VR,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,75,clearCache(),afterLast(),False,True,UNKNOWN,
./data/AddExpression.java,49,!left.type.isType(TC_VOID)) {{,left.type.isType(TC_VOID)) {{,True,False,OR,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,49,(left.type == Type.tString) && !right.type.isType(TC_VOID) {,(left.type == Type.tString) || !right.type.isType(TC_VOID) {,True,False,OR,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,49,left.type == Type.tString,left.type != Type.tString,True,True,OR,4d650728b470d67e6850eae6cfc5f1c2
./data/AddExpression.java,49,right.type.isType(TC_VOID),right.isType(TC_VOID),False,True,UNKNOWN,
./data/AddExpression.java,49,(left.type == Type.tString) && !right.type.isType(TC_VOID),(left.type !== Type.tString),False,True,UNKNOWN,
./data/AddExpression.java,50,Type.tString,Type,False,True,UNKNOWN,
./data/AddExpression.java,51,return,return true,False,True,UNKNOWN,
./data/AddExpression.java,52,right.type == Type.tString,right.type == Type.tString && !left.type.isType(TC_VOID),True,True,UNKNOWN,930bffc6c262d31ac00f457a096f49bd
./data/AddExpression.java,52,}} else if ((right.type == Type.tString) && !left.type.isType(TC_VOID)) {{,}} else if !left.type.isType(TC_VOID) {{,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,52,right.type == Type.tString,left.type.isType(TC_VOID),True,True,UNKNOWN,65f53cf7a3ea1045792c9e131d9f4029
